Country,Total Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious Critical,Total Tests,Population
Latvia,"601,600","5,130",17,"448,791","147,679",85,"6,598,792","1,852,018"
Singapore,"596,261",952,,"540,287","55,022",19,"23,014,851","5,925,740"
Dominican Republic,"572,596","4,360",3,"566,088","2,148",51,"3,084,256","11,026,156"
Myanmar,"572,127","19,344",6,"526,338","26,445",,"6,969,070","55,007,547"
Palestine,"571,662","5,162",12,"537,503","28,997",108,"3,078,533","5,295,564"
Venezuela,"511,772","5,616",,"495,739","10,417",230,"3,359,014","28,303,882"
Moldova,"496,976","11,136",19,"467,312","18,528",101,"2,975,762","4,018,596"
Bahrain,"495,212","1,438",,"460,570","33,204",23,"9,313,980","1,798,332"
Libya,"488,567","6,210",9,"447,766","34,591",125,"2,399,577","7,024,363"
Egypt,"471,460","23,806",,"402,121","45,533",122,"3,693,367","105,495,301"
Ethiopia,"468,379","7,440",,"409,804","51,135",120,"4,469,338","119,625,184"
Estonia,"467,989","2,181",11,"337,940","127,868",22,"3,054,727","1,327,997"
Mongolia,"461,796","2,159",,"313,256","146,381",192,"4,030,048","3,364,763"
Armenia,"416,510","8,354",16,"394,155","14,001",,"2,870,459","2,972,320"
Honduras,"408,456","10,671",,"127,289","270,496",105,"1,263,329","10,162,639"
Oman,"377,948","4,238",4,"359,445","14,265",67,"25,000,000","5,319,220"
Bosnia and Herzegovina,"369,230","15,362",35,"192,218","161,650",,"1,689,874","3,247,371"
Qatar,"355,032",662,,"349,042","5,328",39,"3,361,418","2,807,805"
Kenya,"322,702","5,638",,"303,107","13,957",3,"3,335,912","55,710,574"
Zambia,"311,264","3,945",,"305,425","1,894",32,"3,249,202","19,226,584"
Cyprus,"308,917",825,,"124,370","183,722",60,"9,477,138","1,221,762"
North Macedonia,"294,407","8,937",22,"279,695","5,775",,"1,874,917","2,083,234"
Réunion,"278,494",603,,"250,359","27,532",49,"1,424,291","905,783"
Albania,"270,455","3,451",6,"263,035","3,969",14,"1,730,246","2,872,647"
Algeria,"264,365","6,812",7,"176,966","80,587",18,"230,861","45,147,880"
Botswana,"262,652","2,614",,"256,886","3,152",1,"2,026,898","2,429,379"
Nigeria,"254,325","3,142",,"230,793","20,390",11,"4,317,621","214,503,281"
Uzbekistan,"235,602","1,623",2,"229,019","4,960",23,"1,377,915","34,263,797"
Zimbabwe,"233,571","5,386",,"225,039","3,146",12,"2,054,260","15,217,354"
Montenegro,"229,222","2,666",,"224,167","2,389",60,"1,160,124","628,196"
Mozambique,"224,937","2,190",1,"219,163","3,584",13,"1,261,444","32,688,578"
Kyrgyzstan,"200,368","2,947",1,"194,377","3,044",131,"1,907,195","6,700,500"
Luxembourg,"179,305",986,1,"167,853","10,466",9,"4,055,214","642,659"
Afghanistan,"172,441","7,549",,"152,443","12,449","1,124","884,082","40,363,736"
Maldives,"166,525",292,,"151,009","15,224",25,"2,166,990","556,136"
Uganda,"163,071","3,580",,"99,892","59,599",56,"2,440,282","48,104,619"
Ghana,"158,894","1,441",3,"156,941",512,1,"2,299,550","32,135,006"
Namibia,"157,034","4,002",,"152,480",552,5,"947,400","2,616,267"
El Salvador,"147,786","4,044",,"123,870","19,872",153,"1,693,464","6,539,841"
Laos,"141,441",613,1,"7,660","133,168",,"997,658","7,448,506"
Rwanda,"129,378","1,456",,"45,522","82,400",,"4,745,825","13,477,805"
Jamaica,"127,706","2,795",8,"75,445","49,466",25,"839,014","2,982,349"
Cambodia,"127,575","3,022",2,"121,125","3,428",,"2,846,617","17,098,015"
Trinidad and Tobago,"124,076","3,574",,"99,478","21,024",18,"615,755","1,406,915"
Guadeloupe,"123,622",828,,"2,250","120,544",21,"878,298","400,236"
Cameroon,"119,107","1,920",,"106,050","11,137",13,"1,751,774","27,627,556"
Iceland,"112,094",61,3,"75,685","36,348",2,"1,719,721","344,872"
Martinique,"108,349",861,,104,"107,384",16,"645,857","374,788"
China,"107,989","4,636",,"101,544","1,809",12,"160,000,000","1,439,323,776"
Angola,"98,658","1,899",,"96,584",175,,"1,413,392","34,539,147"
DRC,"85,876","1,335",,"50,930","33,611",,"846,704","94,016,952"
Senegal,"85,600","1,959",1,"83,533",108,3,"1,008,552","17,466,152"
Malawi,"85,228","2,606",,"74,715","7,907",67,"542,990","19,939,096"
Ivory Coast,"81,374",791,,"79,285","1,298",,"1,401,277","27,447,560"
Suriname,"77,810","1,314",4,"49,352","27,144",3,"226,669","595,245"
French Guiana,"77,532",388,,"11,254","65,890",6,"588,741","311,354"
Malta,"70,829",599,1,"69,055","1,175",3,"1,211,456","443,470"
Eswatini,"68,993","1,389",,"67,483",121,11,"472,393","1,179,846"
Fiji,"63,650",826,,"61,865",959,,"495,733","907,090"
Madagascar,"63,433","1,350",,"57,862","4,221",61,"393,562","28,856,279"
Guyana,"62,668","1,213",,"60,604",851,11,"532,757","792,772"
Sudan,"61,223","3,892",,"40,329","17,002",,"562,941","45,525,392"
Hong Kong,"60,363",300,,"13,232","46,831",16,"36,260,319","7,596,650"
Mauritania,"58,616",977,,"57,540",99,30,"733,174","4,849,705"
Belize,"56,256",645,,"53,607","2,004",6,"494,451","409,450"
Cabo Verde,"55,863",400,,"55,395",68,23,"400,982","565,881"
Barbados,"53,884",311,,"50,326","3,247",,"577,602","287,952"
Syria,"53,784","3,053",,"45,643","5,088",,"146,269","18,196,619"
Channel Islands,"49,133",140,,"46,315","2,678",,"1,205,516","176,489"
Gabon,"47,506",303,,"45,387","1,816",1,"1,564,505","2,311,713"
New Caledonia,"45,326",287,,"34,137","10,902",37,"98,964","289,995"
Brunei,"41,049",112,1,"21,555","19,382",8,"712,994","444,343"
Papua New Guinea,"40,296",636,,"37,959","1,701",7,"249,149","9,224,576"
Seychelles,"39,181",160,,"38,481",540,,,"99,345"
Curaçao,"38,737",260,,"37,949",528,3,"485,296","165,193"
Burundi,"38,011",38,,773,"37,200",,"345,742","12,470,311"
Andorra,"37,820",151,1,"36,993",676,14,"249,838","77,468"
Togo,"36,755",272,1,"36,399",84,,"684,010","8,596,378"
Mayotte,"36,631",187,,"2,964","33,480",,"176,919","283,591"
Guinea,"36,393",440,,"32,939","3,014",49,"587,607","13,715,832"
